Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Hanušovce nad Topľou	Prešovský kraj	207	49.026389°S 21.500278°V	14,37	3 767	262,14	094 31	544213	VT	+421-57	
Harakovce	Prešovský kraj	509	48.9973°S 20.8453°V	5,28	64	12,12	053 05 	526525	LE	+421-53	
Harhaj	Prešovský kraj	200	49.1876°S 21.4222°V	4,43	270	60,95	086 45 	519219	BJ	+421-45	
Harichovce	Košický kraj	446	48.9615°S 20.5816°V	10,8	1 867	172,87	053 01	526533	SN	+421-53	
Harmanec	Banskobystrický kraj	446	48.7950°S 19.0784°V	7,76	856	110,31	976 03	508594	BB	+421-48	
Hatalov	Košický kraj	99	48.6603°S 21.8878°V	8,63	746	86,44	072 16	522431	MI	+421-56	
Hatné	Trenčiansky kraj	310	49.1861°S 18.3841°V	5,43	594	109,39	018 02 	557510	PB	+421-42	
Havaj	Prešovský kraj	274	49.2562°S 21.7856°V	14,26	404	28,33	090 23	527297	SP	+421-54	
Havka	Prešovský kraj	627	49.3444°S 20.4052°V	6,01	45	7,49	061 01 	523461	KK	+421-52	
Havranec	Prešovský kraj	385	49.4110°S 21.5555°V	7,64	13	1,7	090 02 	527301	SK	+421-54	
Hažín	Košický kraj	120	48.752222°S 22.019167°V	16,32	460	28,19	072 34 	522449	MI	+421-56	
Hažín nad Cirochou	Prešovský kraj	167	48.9309°S 21.9603°V	7,18	686	95,54	067 83 	559598	HE	+421-57	
Hažlín	Prešovský kraj	270	49.3017°S 21.4186°V	20,1	1 151	57,26	086 14	519227	BJ	+421-54	
Helcmanovce	Košický kraj	425	48.8293°S 20.8689°V	12,85	1 450	112,84	055 63	526541	GL	+421-53	
Heľpa	Banskobystrický kraj	695	48.861389°S 19.970278°V	41,7	2 729	65,44	976 68	508608	BR	+421-48	
Henckovce	Košický kraj	346	48.7128°S 20.4331°V	10,03	447	44,57	049 23 	525723	RV	+421-58	
Henclová	Košický kraj	675	48.785556°S 20.597778°V	14,32	103	7,19	053 33 	526550	GL	+421-53	
Hencovce	Prešovský kraj	123	48.872222°S 21.730000°V	5,76	1 333	231,42	093 02 	581674	VT	+421-57	
Hendrichovce	Prešovský kraj	420 m	49.020000°S 21.000000°V	4,22	243	57,58	082 35	524450	PO	+421-51	
Herľany	Košický kraj	365	48.783333°S 21.483333°V	9,91	285	28,76	044 45 	521418	KS	+421-55	
Hermanovce	Prešovský kraj	501	49.0449°S 21.0198°V	15,96	1 883	117,98	082 35 	524468	PO	+421-51	
Hermanovce nad Topľou	Prešovský kraj	280	48.9824°S 21.5089°V	25,94	715	27,56	094 34 	544221	VT	+421-57	
Hertník	Prešovský kraj	463	49.206944°S 21.236667°V	17,97	1 028	57,21	086 42	519235	BJ	+421-54	
Hervartov	Prešovský kraj	450	49.250564°S 21.214192°V	9,87	495	50,15	086 22 	519243	BJ	+421-45	
Hiadeľ	Banskobystrický kraj	490	48.8094°S 19.3159°V	16,56	514	31,04	976 61 	508616	BB	+421-48	
Hincovce	Košický kraj	435	48.9603°S 20.7268°V	6,49	237	36,52	053 63 	526568	SN	+421-53	
Hladovka	Žilinský kraj	756	49.370175°S 19.758872°V	18,1	1 029	56,85	027 13 	509663	TS	+421-43	
Hlboké	Trnavský kraj	256	48.658333°S 17.406944°V	20,13	929	46,15	906 31	504360	SE	+421-34	
Hlboké nad Váhom	Žilinský kraj	347	49.2114°S 18.5933°V	5,36	949	177,05	014 01 	581984	BY	+421-41	
Hliník nad Hronom	Banskobystrický kraj	239	48.543611°S 18.786944°V	11,32	2 942	259,89	966 01	516767	ZH	+421-45	
Hlinné	Prešovský kraj	152	48.9534°S 21.5805°V	14,59	1 809	123,99	094 35 	544230	VT	+421-57	
Hlivištia	Košický kraj	262	48.8051°S 22.2181°V	20,21	381	18,85	073 01 	522457	SO	+421-56	
Hlohovec	Trnavský kraj	156	48.433333°S 17.803333°V	64,12	22 441	349,98	920 01	507032	HC	+421-33	
Hniezdne	Prešovský kraj	539	49.300000°S 20.633333°V	17,98	1 445	80,37	065 01	526720	SL	+421-52	
Hnilčík	Košický kraj	608	48.8735°S 20.5587°V	22,23	545	24,52	053 32	526576	SN	+421-53	
Hnilec	Košický kraj	669	48.8435°S 20.5023°V	27,08	435	16,06	053 75	526584	SN	+421-53	
Hnojné	Košický kraj	108	48.7784°S 22.0697°V	6,81	225	33,04	072 33	522465	MI	+421-56	
Hnúšťa	Banskobystrický kraj	298	48.573333°S 19.953889°V	68,05	7 721	113,46	981 01	514829	RS	+421-47	
Hodejov	Banskobystrický kraj	196	48.3022°S 19.9964°V	17,25	1 600	92,75	980 31	514837	RS	+421-47	
Hodejovec	Banskobystrický kraj	205	48.2824°S 20.0158°V	11,33	192	16,95	980 02 	514845	RS	+421-47	
Hodkovce	Košický kraj	323	48.6772°S 21.0998°V	7,57	294	38,84	044 21 	521426	KS	+421-55	
Hodruša-Hámre	Banskobystrický kraj	260	48.4557°S 18.7967°V	46,15	2 243	48,6	966 61	516759	ZC	+421-45	
Hokovce	Nitriansky kraj	135 m n, m, stred obce; v chotári 131 – 230	48.150000°S 18.880000°V	14,4	518	35,97	935 84 	502243	LV	+421-36	
Holčíkovce	Prešovský kraj	165	49.0172°S 21.7240°V	12,55	430	34,26	094 05	528731	VT	+421-57	
Holiare	Nitriansky kraj	110	47.8278°S 17.8144°V	9,88	492	49,8	946 16 	580911	KN	+421-35	
Holice	Trnavský kraj	119	47.995556°S 17.484722°V	23,21	1 929	83,11	930 34	501581	DS	+421-31	
Holíč	Trnavský kraj	185	48.812222°S 17.160556°V	34,79	11 196	321,82	908 51	504378	SI	+421-46	
Holiša	Banskobystrický kraj	191	48.3081°S 19.7526°V	10,34	670	64,8	985 57	511439	LC	+421-47	
Holumnica	Prešovský kraj	594	49.2335°S 20.5250°V	16,78	870	51,85	059 94	523470	KK	+421-52	
Honce	Košický kraj	377	48.6679°S 20.4055°V	8,07	383	47,46	049 32 	525731	RV	+421-58	
Hontianska Vrbica	Nitriansky kraj	159	48.1347°S 18.7029°V	23,85	570	23,9	935 55	502251	LV	+421-36	
Hontianske Moravce	Banskobystrický kraj	147	48.186389°S 18.851389°V	16,83	885	52,58	962 71 	518409	KA	+421-45	
Hontianske Nemce	Banskobystrický kraj	214	48.284444°S 18.988611°V	30,85	1 519	49,24	962 65	518417	KA	+421-45	
Hontianske Tesáre	Banskobystrický kraj	145 - 303	48.201389°S 18.921389°V	33,11	927	28	962 68	518425	KA	+421-45	
Hontianske Trsťany	Nitriansky kraj	164	48.2077°S 18.8035°V	15,54	326	20,98	935 86	545350	LV	+421-36	
Horná Breznica	Trenčiansky kraj	334	49.1087°S 18.2504°V	12,28	476	38,76	020 61 	557692	PU	+421-42	
Horná Kráľová	Nitriansky kraj	142	48.243939°S 17.915353°V	19,12	1 912	100	951 32	555878	SA	+421-37	
Horná Krupá	Trnavský kraj	216	48.518056°S 17.531389°V	8,65	470	54,34	919 65 	507041	TT	+421-33	
Horná Lehota	Žilinský kraj	534	49.2548°S 19.4047°V	15,34	563	36,7	027 41 	509671	DK	+421-43	
Horná Lehota	Banskobystrický kraj	640	48.838611°S 19.546111°V	45,89	598	13,03	976 81 	508624	BR	+421-48	
Horná Mariková	Trenčiansky kraj	470	49.243333°S 18.295000°V	47,56	628	13,2	018 03	513083	PB	+421-42	
Horná Mičiná	Banskobystrický kraj	432	48.6980°S 19.2115°V	15,69	579	36,9	974 01 	508632	BB	+421-48	
Horná Poruba	Trenčiansky kraj	410	48.9411°S 18.3050°V	13,69	1 078	78,74	018 35	513091	IL	+421-42	
Horná Potôň	Trnavský kraj	123	48.040278°S 17.488611°V	28,37	2 006	70,71	930 36	501590	DS	+421-31	
Horná Seč	Nitriansky kraj	158	48.194167°S 18.543056°V	8,3	532	64,1	935 31 	502260	LV	+421-36	
Horná Streda	Trenčiansky kraj	169	48.655833°S 17.842500°V	9,83	1 355	137,84	916 24	506001	NM	+421-32	
Horná Strehová	Banskobystrický kraj	205	48.2794°S 19.4282°V	7,81	170	21,77	991 02 	516015	VK	+421-47	
Horná Súča	Trenčiansky kraj	315	48.966667°S 17.966667°V	53,82	3 417	63,49	913 33	506010	TN	+421-32	
Horná Štubňa	Žilinský kraj	608	48.8222°S 18.8857°V	31,39	1 633	52,02	038 46	512273	TR	+421-43	
Horná Ves	Trenčiansky kraj	318	48.6085°S 18.4891°V	18,57	1 476	79,48	972 48	514004	PD	+421-46	
Horná Ves	Banskobystrický kraj	440	48.6751°S 18.9095°V	3,66	707	193,17	967 01 	581747	ZH	+421-45	
Horná Ždaňa	Banskobystrický kraj	261,81	48.554722°S 18.756389°V	16,27	545	33,5	966 04	516791	ZH	+421-45	
Horné Dubové	Trnavský kraj	231	48.519722°S 17.562778°V	7,28	381	52,34	919 65 	507059	TT	+421-33	
Horné Hámre	Banskobystrický kraj	272	48.483333°S 18.683333°V	19,67	601	30,55	966 71	516805	ZC	+421-45	
Horné Chlebany	Nitriansky kraj	172	48.6045°S 18.2224°V	3,8	358	94,21	956 31 	556351	TO	+421-38	
Horné Lefantovce	Nitriansky kraj	188	48.416667°S 18.133333°V	18,6	899	48,33	951 45	545635	NR	+421-37	
Horné Mladonice	Banskobystrický kraj	480	48.343889°S 19.150556°V	11,83	171	14,45	962 43 	518433	KA	+421-45	
Horné Mýto	Trnavský kraj	113	48.010278°S 17.754444°V	12,11	951	78,53	930 13 	555568	DS	+421-31	
Horné Naštice	Trenčiansky kraj	237	48.736389°S 18.299444°V	8,57	418	48,77	956 41 	542920	BN	+421-38	
Horné Obdokovce	Nitriansky kraj	181	48.4959°S 18.0495°V	22,89	1 535	67,06	956 08	542938	TO	+421-38	
Horné Orešany	Trnavský kraj	200	48.466111°S 17.439444°V	21,57	1 909	88,5	919 03	507067	TT	+421-33	
Horné Otrokovce	Trnavský kraj	230	48.490000°S 17.881667°V	9,06	851	93,93	920 62	507075	HC	+421-33	
Horné Plachtince	Banskobystrický kraj	243	48.2385°S 19.2830°V	10,53	211	20,04	991 24 	516023	VK	+421 47 (LC)	
Horné Pršany	Banskobystrický kraj	630	48.7002°S 19.0850°V	3,53	378	107,08	974 05 	508641	BB	+421-48	
Horné Saliby	Trnavský kraj	115	48.124444°S 17.750278°V	34,84	3 202	91,91	925 03	503771	GA	+421-31	
Horné Semerovce	Nitriansky kraj	118	48.1250°S 18.8779°V	10,09	601	59,56	935 84	502278	LV	+42136749xxxx	
Horné Srnie	Trenčiansky kraj	257 metrov nad morom	48.9919°S 18.1011°V	27,26	2 816	103,3	914 42	506036	TN	+421-32	
Horné Strháre	Banskobystrický kraj	244	48.2709°S 19.3615°V	12,78	245	19,17	991 03 	516031	VK	+421-47	
Horné Štitáre	Nitriansky kraj	194	48.533333°S 18.050000°V	5,68	501	88,2	956 03 	542954	TO	+421-38	
Horné Trhovište	Trnavský kraj	222	48.468056°S 17.868611°V	7,54	608	80,64	920 66	556602	HC	+421-33	
Horné Turovce	Nitriansky kraj	150	48.125000°S 18.944722°V	12,97	595	45,88	935 81	502286	LV	+421-36	
Horné Vestenice	Trenčiansky kraj	od 235 do 280	48.711944°S 18.431944°V	9,96	619	62,15	972 22 	514012	PD	+421-46	
Horné Zahorany	Banskobystrický kraj	461	48.4610°S 20.0090°V	5,24	131	25	980 26 	514853	RS	+421-47	
Horné Zelenice	Trnavský kraj	138	48.387500°S 17.758333°V	4,25	682	160,47	920 52 	556530	HC	+421-33	
Horný Badín	Banskobystrický kraj	305	48.283056°S 19.083056°V	5,63	181	32,15	962 51 	518441	KA	+421-45	
Horný Bar	Trnavský kraj	113	47.947222°S 17.463333°V	11,78	1 249	106,03	930 33	501603	DS	+421-31	
Horný Hričov	Žilinský kraj	320	49.253611°S 18.654722°V	5,78	781	135,12	013 42	517593	ZA	+421-41	
Horný Kalník	Žilinský kraj	445	49.0335°S 18.9700°V	2,06	173	83,98	038 02 	512290	MT	+421-43	
Horný Lieskov	Trenčiansky kraj	370	49.065278°S 18.433056°V	4,9	371	75,71	018 21 	580856	PB	+421-42	
Horný Pial	Nitriansky kraj	174	48.1567°S 18.4499°V	6,35	271	42,68	935 37 	502294	LV	+421-36	
Horný Tisovník	Banskobystrický kraj	420	48.4156°S 19.3632°V	32,16	207	6,44	962 75	518450	DT	+421-45	
Horný Vadičov	Žilinský kraj	487	49.266667°S 18.883333°V	20,81	1 628	78,23	023 45	509205	KM	+421-41422	
Horňa	Košický kraj	144	48.757778°S 22.201944°V	6,73	363	53,94	073 01 	522473	SO	+421-56	
Horňany	Trenčiansky kraj	222	48.7793°S 18.1983°V	6,71	420	62,59	913 24 	506028	TN	+421-32	
Horovce	Trenčiansky kraj	249	49.044722°S 18.256111°V	5,35	841	157,2	020 62	513121	PU	+421-42	
Horovce	Košický kraj	106	48.7062°S 21.7714°V	13,08	854	65,29	072 02 	522481	MI	+421-56	
Hoste	Trnavský kraj	125	48.260556°S 17.639167°V	4,48	489	109,15	925 45 	503789	GA	+421-31	
Hostice	Banskobystrický kraj	205	48.2384°S 20.0659°V	21,12	1 031	48,82	980 04	514861	RS	+421-47	
Hostie	Nitriansky kraj	225	48.4507°S 18.4379°V	28,17	1 209	42,92	951 94	500283	ZM	+421-37	
Hostišovce	Banskobystrický kraj	266	48.4978°S 20.1163°V	10,42	242	23,22	980 23 	514870	RS	+421-47	
Hostovice	Prešovský kraj	387	49.116667°S 22.144167°V	29,04	302	10,4	067 35 	520209	SV	+421-57	
Hosťová	Nitriansky kraj	195	48.3390°S 18.2072°V	4,78	368	76,99	951 02 	555959	NR	+421-37	
Hosťovce	Nitriansky kraj	220	48.416667°S 18.350000°V	16,24	754	46,43	951 91	500305	ZM	+421-37	
Hosťovce	Košický kraj	171	48.571111°S 20.855000°V	4,83	199	41,2	044 02 	518107	KS	+421-55	
Hozelec	Prešovský kraj	683	49.0344°S 20.3467°V	4	800	200	059 11	523496	PP	+421-52	
Hôrka	Prešovský kraj	600	49.019444°S 20.383333°V	11,35	1 848	162,82	059 12	523488	PP	+421-52	
Hôrka nad Váhom	Trenčiansky kraj	197	48.7212°S 17.8923°V	18,32	703	38,37	916 32	505994	NM	+421-32	
Hôrky	Žilinský kraj	375	49.203889°S 18.692778°V	2,32	701	302,16	010 04 	517577	ZA	+421-41	
Hrabičov	Banskobystrický kraj	358	48.5344°S 18.6633°V	13,2	579	43,86	966 78	516813	ZC	+421-45	
Hrabkov	Prešovský kraj	452	48.9593°S 21.0181°V	16,7	689	41,26	082 33 	524476	PO	+421-51	
Hrabová Roztoka	Prešovský kraj	410	48.879167°S 22.301111°V	7,45	60	8,05	067 73 	520217	SV	+421-57	
Hrabovčík	Prešovský kraj	264	49.2817°S 21.5569°V	7,1	344	48,45	089 41 	527319	SK	+421-54	
Hrabovec	Prešovský kraj	230	49.266667°S 21.366667°V	7,85	518	65,99	086 11	519251	BJ	+421-54	
Hrabovec nad Laborcom	Prešovský kraj	389m	49.0949°S 21.9391°V	13,54	544	40,18	067 01 	520225	HE	+421-57	
Hrabovka	Trenčiansky kraj	315	48.9355°S 18.0392°V	4,29	415	96,74	913 32 	506044	TN	+421-32	
Hrabské	Prešovský kraj	460	49.3387°S 21.0735°V	10,91	610	55,91	086 06 	519260	BJ	+421-45	
Hrabušice	Košický kraj	548	48.966667°S 20.400000°V	40,89	2 402	58,74	053 15	526592	SN	+421-53	
Hradisko	Prešovský kraj	830	49.0572°S 20.5224°V	3,37	97	28,78	059 71 	523500	KK	+421-52	
Hradište	Trenčiansky kraj	212	48.6814°S 18.3722°V	8,17	1 010	123,62	958 54	542962	PE	+421-38	
Hradište	Banskobystrický kraj	302	48.4914°S 19.7225°V	14,51	248	17,09	985 25 	511447	PT	+421-47	
Hradište pod Vrátnom	Trnavský kraj	233	48.627222°S 17.486944°V	25,19	650	25,8	906 12	504386	SE	+421-34	
Hrádok	Trenčiansky kraj	190	48.697047°S 17.882486°V	24,13	690	28,6	916 33	506052	NM	+421-32	
Hrachovište	Trenčiansky kraj	210	48.713950°S 17.730247°V	9,2	734	79,78	916 16 	506061	NM	+421-32	
Hrachovo	Banskobystrický kraj	273	48.4636°S 19.9507°V	11,84	859	72,55	980 52	514888	RS	+421-47	
Hraničné	Prešovský kraj	534	49.378583°S 20.699778°V	7,54	189	25,07	065 22 	526738	SL	+421-52	
Hranovnica	Prešovský kraj	610	48.9883°S 20.3087°V	32,66	2 955	90,48	059 16	523518	PP	+421-52	
Hraň	Košický kraj	101	48.5447°S 21.7885°V	17,4	1 602	92,07	076 03	528366	TV	+421-56	
Hrašné	Trenčiansky kraj	340	48.750567°S 17.661653°V	7,88	460	58,38	916 14	506079	MY	+421-32	
Hrašovík	Košický kraj	207	48.750000°S 21.316667°V	2,05	330	160,98	044 42 	521442	KS	+421-55	
Hrčeľ	Košický kraj	133	48.5228°S 21.6879°V	9,99	985	98,6	076 15 	528374	TV	+421-56	
Hrhov	Košický kraj	216	48.6054°S 20.7501°V	36,08	1 122	31,1	049 44	525740	RV	+421-58	
Hriadky	Košický kraj	111	48.696389°S 21.708333°V	3,31	462	139,58	076 22 	528382	TV	+421-56	
Hričovské Podhradie	Žilinský kraj	323	49.2214°S 18.6222°V	2,04	360	176,47	013 41 	547590	ZA	+421-41	
Hriňová	Banskobystrický kraj	657 m	48.573333°S 19.522778°V	126,49	7 696	60,84	962 05	518468	DT	+421-45	
Hrišovce	Košický kraj	475	48.950000°S 20.916667°V	7,96	314	39,45	053 51 	543144	GL	+421-53	
Hrkovce	Nitriansky kraj	126	48.0882°S 18.9024°V	8,2	288	35,12	936 01 	581895	LV	+421-36	
Hrlica	Banskobystrický kraj	439	48.6285°S 20.0509°V	5,49	82	14,94	982 66 	514896	RA	+421-47	
Hrnčiarovce nad Parnou	Trnavský kraj	143	48.343333°S 17.575000°V	16,28	2 226	136,73	919 35	581020	TT	+421-33	
Hrnčiarska Ves	Banskobystrický kraj	236	48.4325°S 19.8571°V	25,78	990	38,4	980 13	514900	PT	+421-47	
Hrnčiarske Zalužany	Banskobystrický kraj	223	48.4055°S 19.8702°V	6,1	882	144,59	980 12	514918	PT	+421-47	
Hrochoť	Banskobystrický kraj	636	48.6554°S 19.3123°V	34,74	1 494	43,01	976 37	508659	BB	+421-48	
Hromoš	Prešovský kraj	523	49.2553°S 20.7940°V	13,35	513	38,43	065 45 	526746	SL	+421-52	
Hronec	Banskobystrický kraj	492	48.7948°S 19.5820°V	35,15	1 200	34,14	976 45	508667	BR	+421-48	
Hronovce	Nitriansky kraj	131	48.0039°S 18.6562°V	30,96	1 466	47,35	935 61	502324	LV	+421-36	
Hronsek	Banskobystrický kraj	312	48.658889°S 19.153889°V	7,3	653	89,45	976 31 	580236	BB, BC	+421-48	
Hronská Breznica	Banskobystrický kraj	268	48.5690°S 18.9975°V	9,52	263	27,63	966 11 	518476	ZV	+421-45	
Hronská Dúbrava	Banskobystrický kraj	498	48.5897°S 19.0011°V	5,04	413	81,94	966 11 	516821	ZH	+421-45	
Hronské Kľačany	Nitriansky kraj	163	48.240000°S 18.568333°V	7,88	1 452	184,26	935 29	502332	LV	+421-36	
Hronské Kosihy	Nitriansky kraj	170	48.267500°S 18.595278°V	7,09	670	94,5	935 27	502341	LV	+421-36	
Hronský Beňadik	Banskobystrický kraj	192	48.353056°S 18.573889°V	9,23	1 181	127,95	966 53	516830	ZC	+421-45	
Hrubá Borša	Bratislavský kraj	120	48.180556°S 17.483333°V	5,85	541	92,48	925 23 	503797	SC	+421-2	
Hruboňovo	Nitriansky kraj	162	48.4431°S 18.0287°V	11,55	502	43,46	951 25	500313	NR	+421-37	
Hrubov	Prešovský kraj	306	49.100000°S 21.866667°V	14,42	501	34,74	067 23 	520233	HE	+421-57	
Hrubý Šúr	Bratislavský kraj	126	48.169722°S 17.420833°V	6,21	821	132,21	903 01 	503801	SC	+421-2	
Hrušov	Banskobystrický kraj	349	48.1542°S 19.0918°V	23,31	867	37,19	991 42	516040	VK	+421-47	
Hrušov	Košický kraj	232	48.5825°S 20.6367°V	16,8	342	20,36	049 43 	525758	RV	+421-58	
Hrušovany	Nitriansky kraj	158	48.436389°S 18.093889°V	5,54	1 104	199,28	956 13 	542971	TO	+421-38	
Hrušovo	Banskobystrický kraj	273	48.5127°S 20.0497°V	15,78	191	12,1	980 26 	514926	RS	+421-47	
Hruštín	Žilinský kraj	697	49.324722°S 19.349444°V	36,51	3 154	86,39	029 52	509680	NO	+421-43	
Hubice	Trnavský kraj	124	48.095833°S 17.397222°V	5,36	563	105,04	930 39 	501620	DS	+421-31	
Hubina	Trnavský kraj	200	48.616667°S 17.887778°V	26,84	495	18,44	922 21 	556581	PN	+421-33	
Hubošovce	Prešovský kraj	355	49.0961°S 21.2051°V	5,82	499	85,74	082 66 	524492	SB	+421-51	
Hubová	Žilinský kraj	449	49.1183°S 19.1886°V	16,7	1 059	63,41	034 91 	510441	RK	+421-44	
Hubovo	Banskobystrický kraj	233	48.3991°S 20.3675°V	11,08	134	12,09	982 01 	514934	RS	+421-47	
Hucín	Banskobystrický kraj	221	48.5645°S 20.2983°V	12,56	886	70,54	049 13	525766	RA	+421-58	
Hudcovce	Prešovský kraj	136	48.9076°S 21.7906°V	5,86	415	70,82	067 45 	520241	HE	+421-57	
Hul	Nitriansky kraj	124	48.100000°S 18.250000°V	12,68	1 214	95,74	941 44	503193	NZ	+421-35	
Humenné	Prešovský kraj	156	48.935833°S 21.906667°V	28,63	34 455	1 203,46	066 01	520004	HE	+421-57	
Huncovce	Prešovský kraj	639	49.116667°S 20.383333°V	13,26	2 991	225,57	059 92	523526	KK	+421-52	
Hunkovce	Prešovský kraj	294	49.3608°S 21.6519°V	6,96	334	47,99	090 03 	527327	SK	+421-54	
Hurbanova Ves	Bratislavský kraj	125	48.1517°S 17.4379°V	5,41	295	54,53	903 01 	503819	SC	+421-2	
Hurbanovo	Nitriansky kraj	115	47.873056°S 18.193333°V	59,94	7 656	127,73	947 XX	501140	KN	+421-35	
Husák	Košický kraj	220	48.698611°S 22.287500°V	13,95	161	11,54	072 51 	522490	SO	+421-56	
Husiná	Banskobystrický kraj	241	48.3405°S 19.8768°V	19,65	541	27,53	985 42 	514942	RS	+421-47	
Hutka	Prešovský kraj	400	49.3971°S 21.4308°V	3,69	86	23,31	086 36 	519278	BJ	+421-45	
Huty	Žilinský kraj	789	49.2192°S 19.5660°V	11,57	184	15,9	027 32 	510459	LM	+421-44	
Hviezdoslavov	Trnavský kraj	126	48.067500°S 17.348056°V	10,5	803	76,48	930 41 	501638	DS	+421-31	
Hvozdnica	Žilinský kraj	327	49.2100°S 18.4890°V	8,73	1 183	135,51	013 56	517623	BY	+421-41	
Hybe	Žilinský kraj	710	49.0445°S 19.8290°V	52,82	1 507	28,53	032 31	510467	LM	+421-44	
Hýľov	Košický kraj	490	48.7300°S 21.1040°V	23,86	498	20,87	044 12 	521469	KS	+421-55	
Chanava	Banskobystrický kraj	173	48.3377°S 20.2982°V	18,93	696	36,77	980 44 	514951	RS	+421-47	
Chlebnice	Žilinský kraj	594	49.2297°S 19.4643°V	25,27	1 615	63,91	027 55 	509698	DK	+421-43	
Chlmec	Prešovský kraj	210	48.888056°S 21.939167°V	7,91	578	73,07	067 41	520268	HE	+421-57	
Chľaba	Nitriansky kraj	116	47.8298°S 18.8268°V	13,96	722	51,72	943 65 	503207	NZ	+421-36	
Chmeľnica	Prešovský kraj	528	49.300000°S 20.733333°V	12,64	968	76,58	064 01 	526754	SL	+421-52	
Chmeľov	Prešovský kraj	375	49.0719°S 21.4366°V	12,64	975	77,14	082 15	524506	PO	+421-51	
Chmeľová	Prešovský kraj	365	49.3997°S 21.2981°V	12,43	388	31,21	086 33 	519286	BJ	+421-54	
Chmeľovec	Prešovský kraj	368	49.0834°S 21.3675°V	7,28	441	60,58	082 12 	524514	PO	+421-51	
Chminianska Nová Ves	Prešovský kraj	423	49.0039°S 21.0815°V	10,58	1 285	121,46	082 33	524522	PO	+421-51	
Chminianske Jakubovany	Prešovský kraj	485	49.000000°S 21.000000°V	14,19	2 038	143,62	082 33 	524531	PO	+421-51	
Chmiňany	Prešovský kraj	379	49.0009°S 21.0679°V	7,53	908	120,58	082 33 	524549	PO	+421-51	
Choča	Nitriansky kraj	170	48.3564°S 18.3228°V	4,39	495	112,76	951 76 	500321	ZM	+421-37	
Chocholná-Velčice	Trenčiansky kraj	220	48.8679°S 17.9446°V	27,9	1 703	61,04	913 04	506087	TN	+421-32	
Choňkovce	Košický kraj	218	48.779167°S 22.242500°V	18,32	560	30,57	072 63	522503	SO	+421-56	
Chorvátsky Grob	Bratislavský kraj	172	48.227500°S 17.290833°V	15,12	4 573	302,45	900 25	507911	SC	+421-2	
Chorváty	Košický kraj	192	48.5663°S 20.8733°V	3,3	100	30,3	044 02 	599310	KS	+421-55	
Chotča	Prešovský kraj	226	49.246617°S 21.682222°V	10,59	578	54,58	090 21	527335	SP	+421-54	
Chotín	Nitriansky kraj	110	47.8036°S 18.2373°V	20,43	1 386	67,84	946 31	501158	KN	+421-35	
Chrabrany	Nitriansky kraj	159	48.5325°S 18.1426°V	7,95	758	95,35	955 01 	556165	TO	+421-38	
Chrámec	Banskobystrický kraj	176	48.2777°S 20.1851°V	12,84	442	34,42	980 42 	514969	RS	+421-47	
Chrastince	Banskobystrický kraj	146	48.0910°S 19.2490°V	4	237	59,25	991 08 	516058	VK	+421-47	
Chrastné	Košický kraj	240	48.7919°S 21.3484°V	4,73	464	98,1	044 44 	521477	KS	+421-55	
Chrasť nad Hornádom	Košický kraj	420	48.9246°S 20.7049°V	9,39	879	93,61	053 63 	543152	SN	+421-53	
Chrenovec-Brusno	Trenčiansky kraj	cca 350	48.776156°S 18.723422°V	12,32	1 370	111,2	972 32	514021	PD	+421-46	
Chropov	Trnavský kraj	248	48.773289°S 17.318144°V	17,79	386	21,7	908 64	504394	SI	+421-34	
Chrťany	Banskobystrický kraj	222	48.2914°S 19.4607°V	9,19	157	17,08	991 21 	516066	VK	+421-47	
Chtelnica	Trnavský kraj	204	48.568889°S 17.624444°V	32,97	2 569	77,92	922 05	507121	PN	+421-33	
Chudá Lehota	Trenčiansky kraj	223	48.647222°S 18.197778°V	3,67	206	56,13	956 38 	556408	BN	+421-38	
Chvalová	Banskobystrický kraj	222	48.5141°S 20.1754°V	9,29	187	20,13	982 62 	514977	RA	+421-47	
Chvojnica	Trenčiansky kraj	384	48.7995°S 17.4105°V	16,35	367	22,45	906 06 	504408	MY	+421-34	
Chvojnica	Trenčiansky kraj	484	48.8797°S 18.5613°V	9,3	251	26,99	972 13 	514039	PD	+421-46	
Chynorany	Trenčiansky kraj	178	48.6098°S 18.2744°V	10,35	2 710	261,84	956 33	543004	PE	+421-38	
Chyžné	Banskobystrický kraj	296	48.6638°S 20.2014°V	19,55	421	21,53	049 18 	525774	RA	+421-58	
Igram	Bratislavský kraj	144	48.285000°S 17.462500°V	8,3	554	66,75	900 84 	555487	SC	+421-33	
Ihľany	Prešovský kraj	706	49.188889°S 20.536111°V	28,46	1 473	51,76	059 94 	523534	KK	+421-52	
Ihráč	Banskobystrický kraj	485	48.6557°S 18.9517°V	20,75	548	26,41	967 01 	516848	ZH	+421-45	
Ilava	Trenčiansky kraj	255	48.999444°S 18.236111°V	24,3	5 483	225,64	019 01	513156	IL	+421-42	
Iliašovce	Košický kraj	520	48.9925°S 20.5256°V	13,49	961	71,24	053 11 	543161	SN	+421-53	
Ilija	Banskobystrický kraj	550	48.419167°S 18.898889°V	10,63	334	31,42	969 01 	516856	BS	+421-45	
Imeľ	Nitriansky kraj	111	47.9051°S 18.1357°V	21,96	1 988	90,53	946 52	501166	KN	+421-35	
